"ORDER_ITEM_ID","ORDER_ID","PRODUCT_ID","QUANTITY","PRICE"
1,1,1,1,999.00
2,1,9,2,25.00
3,2,3,1,1999.00
4,3,2,1,899.00
5,4,5,1,120.00
6,4,6,1,200.00
7,5,7,1,800.00
8,6,10,2,60.00
9,7,4,1,1499.00
10,7,11,1,80.00
11,8,12,1,150.00
12,9,13,1,1200.00
13,9,20,2,35.00
14,10,1,1,999.00
15,10,17,3,20.00
16,11,14,1,150.00
17,12,3,1,1999.00
18,12,18,1,95.00
19,13,15,1,300.00
20,14,16,2,120.00
21,14,19,1,40.00
22,15,5,2,120.00
23,15,9,3,25.00
24,16,7,1,800.00
25,16,8,1,600.00
26,17,2,1,899.00
27,18,4,1,1499.00
28,18,11,2,80.00
