"ORDER_ID","CUSTOMER_ID","ORDER_DATE","STATUS"
1,1,2023-07-01,"completed"
2,1,2023-07-10,"completed"
3,2,2023-07-12,"cancelled"
4,3,2023-07-15,"completed"
5,4,2023-07-18,"completed"
6,5,2023-07-20,"completed"
7,2,2023-07-25,"completed"
8,6,2023-07-28,"pending"
9,7,2023-08-01,"completed"
10,8,2023-08-02,"completed"
11,9,2023-08-03,"pending"
12,10,2023-08-05,"completed"
13,11,2023-08-06,"cancelled"
14,12,2023-08-07,"completed"
15,3,2023-08-08,"completed"
16,4,2023-08-10,"completed"
17,5,2023-08-11,"pending"
18,6,2023-08-12,"completed"
